	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
QG0513-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0001-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QJ0002-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0003-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0004-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0005-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0006-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0007-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QJ0008-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0009-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0010-C	K	CVMNK	N	R	N	I	G	K	G	S		0		0	
QJ0015-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A,S		0		0	
QJ0018-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0019-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0094-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0159-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0160-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0161-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0162-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QJ0163-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QJ0164-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0165-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0167-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QJ0168-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QJ0169-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0170-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QJ0172-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0173-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
QJ0174-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QJ0175-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QM0005-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0006-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QM0007-C	K	CVMNK	I	R	N	I	G	K	G	A		0		0	
QM0008-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0009-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QM0011-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0012-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0013-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0020-C	K	CVMNK	I	R	N	I	G	K	G	A		0		0	
QM0027-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0030-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0035-C	K	CVMNK	I	R	N	I	G	K	G	A		0		0	
QM0036-C	K	CVMNK	N	C	S	I	A	K	A	A		0	PfMDR1_dup_08	0	
QM0037-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0038-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
QM0041-C	K	CVMNK	I	R	N	I	G	K	G	A		0		0	
QM0056-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
QM0057-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QM0077-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QM0121-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QM0124-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QM0125-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QM0132-C	K	CVMNK	N	C	S	I	A	K	A	A		0	PfMDR1_dup_15	0	
QM0134-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QP0001-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0002-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0003-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0004-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0005-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0006-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0007-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0008-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0009-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0010-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QP0011-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0012-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0013-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0014-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0015-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A	T573S	0		0	
QP0016-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QP0017-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0018-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0019-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0020-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0021-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	G,A	S,A		0		0	
QP0022-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0023-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0024-C	T	CVIET	I	R	N	I	A,G	K	A	S,A		0		0	
QP0025-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0026-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0027-C	T	CVIET	I	R	N	I	A	K	G	S		0		0	
QP0028-C	T	CVIET	I	R	N	I	G	K	A	S,A		0		0	
QP0029-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0030-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A,S		0		0	
QP0031-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0032-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0033-C	K	CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0034-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0035-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0036-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0037-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0038-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QP0039-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0040-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QP0041-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0042-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0043-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0044-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A,G	A,S		0		0	
QP0045-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0047-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0048-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0050-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
QP0051-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0054-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	G,A	S,A		0		0	
QP0055-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0056-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0057-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0058-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0060-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QP0061-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0062-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0063-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0064-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0065-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0066-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0068-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QP0069-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A,G	A,S		0		0	
QP0071-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0072-C	K	CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0073-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0074-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0075-C	K	CVMNK	I,N	R,Y	N,S	I	G	K	A	A		0		0	
QP0076-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0077-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0078-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0079-C	K	CVMNK	N,I	Y,R	S,N	M,I	A,G	K	A	A		0		0	
QP0080-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0081-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0083-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0084-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0085-C	T	CVIET	I	R	N	I	G	K	G,A	S,A		0		0	
QP0086-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0087-C	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
QP0088-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0089-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
QP0090-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
QP0091-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0092-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A,G	S,A		0		0	
QP0093-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0094-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0095-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0096-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0098-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0099-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	PfPlasmepsin_1
QP0100-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0101-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QP0102-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0103-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0104-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QP0105-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0106-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0107-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0108-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
QP0110-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0111-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0112-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0113-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0114-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0115-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0116-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0117-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0118-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QP0119-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0120-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A,S		0		0	
QP0121-C	T	CVIET	I	R	N	I	G	K	A,G	S,A		0		0	
QP0122-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A,S		0		0	
QP0123-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0124-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0125-C	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_15	0	
QP0126-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0127-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0128-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0129-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0130-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0131-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0132-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0133-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QP0134-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0136-C	T	CVIET	I	R	N	I	G	K	A	A,S		0		0	
QP0137-C	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_27	0	
QP0138-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0139-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0140-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0142-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0144-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0145-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0146-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0147-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0148-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
QP0149-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0150-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0151-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A,G	A,S		0		0	
QP0152-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
QP0153-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0154-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
QP0155-C	T	CVIET	I	R	N	I	G	K	A	A		-1		-1	
QP0156-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0157-C	T	CVIET	I	R	N	I	G	K	A	S,A		0		0	
QP0158-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0159-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0160-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0161-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	G,A	S,A		0		0	
QP0162-C	T	CVIET	I	R	N	I	G	K	A	S,A		0		0	
QP0163-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0164-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0165-C	K,T	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0166-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0168-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
QP0169-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0170-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0171-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0172-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QP0174-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0175-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0176-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
QP0177-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0178-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QP0179-C	K	CVMNK	I	R	N	I	G	K	G,A	S,A		0		0	
QP0180-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0181-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	G,A	S,A		0		0	
QP0182-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	G,A	A,S		0		0	
QP0183-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0185-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	S,A		0		0	
QP0186-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0187-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0188-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0189-C	K	CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0190-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0191-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0192-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0193-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	G,A	S,A		0		0	
QP0194-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0195-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0196-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0197-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0198-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QP0199-C	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_15	0	
QP0200-C	K,T	CVMNK,CVIET	N,I	Y,R	S	M,I	A	K	A	A		0		0	
QP0201-C	K,T	CVIET,CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0202-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	G,A	S,A		0		0	
QP0203-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0204-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
QP0205-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0206-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0207-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0208-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	G,A	S,A		0		0	
QP0209-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0210-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
QP0211-C	K	CVMNK	I	R	N	I	G	K	A,G	S		0		0	
QP0212-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0213-C	T	CVIET	I	R	N	I	G	K	G	S,A	A578S	0		0	
QP0214-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A,S		0		0	
QP0215-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0217-C	T	CVIET	I	R	N	I	G	K	G,A	S,A		0		0	
QP0218-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QP0219-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0220-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0222-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0223-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0224-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0225-C	T	CVIET	I	R	N	I	G	K	A,G	S,A		0		0	
QP0226-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0227-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0228-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0229-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0230-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0231-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QP0232-C	T	CVIET	I	R	N	I	G	K	G,A	A,S		0		0	
QP0233-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
QP0234-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0235-C	T	CVIET	N	C	N	I	G	K	A	A		0		0	
QP0236-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0237-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0238-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0239-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0240-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0241-C	T	CVIET	I	R	N	I	G	K	A,G	A,S		0	PfMDR1_dup_08	0	
QP0242-C	T	CVIET	I	R	N	I	G	K	A,G	A,S	a578s	0		0	
QP0243-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0244-C	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_15	0	
QP0245-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0246-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0248-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0249-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0253-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0254-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QP0255-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QP0258-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0002-C	K	CVMNK	N,I	R	N	I	G,A	K	A	S,A		0		0	
QQ0003-C	K,T	CVMNK,CVIET	I	R,C	N	I	A,G	K	A	A		0		0	
QQ0004-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0005-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0006-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0008-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0009-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
QQ0010-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A	a578s	0		0	
QQ0012-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QQ0013-C	K	CVMNK	N	C	S	I	G,A	K	A	A,S		0		0	
QQ0014-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G	K	A	S		0		0	
QQ0024-C	K	CVMNK	N	C	N	I	A	K	A	A		0		0	
QQ0027-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0031-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
QQ0032-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0033-C	K,T	CVMNK,CVIET	I,N	C	N,S	I	G	K	A	A,S		0		0	
QQ0039-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
QQ0043-C	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
QQ0047-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0048-C	K	CVMNK	I	R	N	I	G	K	G	S		0	PfMDR1_dup_08	0	
QQ0049-C	K	CVMNK	I	R	N	I	G	K	A	A	A578S	0		0	
QQ0050-C	K	CVMNK	I	R	N	I	G	K	A	A	A578S	0		0	
QQ0051-C	K	CVMNK	N	C,R	S	I	G	K	A	S		0		0	
QQ0053-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0054-C	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
QQ0055-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QQ0056-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QQ0058-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0059-C	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	S,A		0	PfMDR1_dup_27	0	
QQ0061-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0063-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QQ0065-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0066-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0068-C	K	CVMNK	N	C,R	S,N	I	G,A	K	A	A		0		0	
QQ0070-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QQ0071-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0073-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0074-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0075-C	K	CVMNK	I	R	N	I	G	K	A	A	A557S	0		0	
QQ0076-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
QQ0078-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0079-C	K	CVMNK	N	R,C	N,S	I	G	K	A	A		0		0	
QQ0081-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
QQ0082-C	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
QQ0083-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	G,A	S		0		0	
QQ0084-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A,S		0		0	
QQ0088-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0089-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0090-C	T	CVIET	N	C	S	I	G	K	A	S		0		0	
QQ0092-C	K,T	CVMNK,CVIET	N	C,R	S,N	I	G	K	A	A		0		0	
QQ0095-C	K	CVMNK	N	C	S	I	G	K	A	S		0		0	
QQ0096-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
QQ0097-C	T,K	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
QQ0099-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0100-C	K	CVMNK	I	R	N	I	G,A	K	A	A,S		0		0	
QQ0102-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QQ0103-C	T	CVIET	N	R	N	I	G	K	A	S		0		0	
QQ0105-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
QQ0109-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QQ0110-C	K	CVMNK	I	R	N	I	G,A	K	A	A,S		0		0	
QQ0111-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0112-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QQ0113-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
QQ0114-C	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	A,S		0		0	
QQ0115-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
QQ0116-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
QQ0117-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
QQ0118-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
QQ0119-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
QQ0120-C	K	CVMNK	N	C,R	S,N	I	G,A	K	A	A		0		0	
QQ0121-C	K	CVMNK	I,N	R	N	I	G,A	K	A	A,S		0		0	
QS0056-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
QS0104-C	T	CVIET	I	C	N	I	G	E	A	A		0		0	
